Traitement de l'information AUDITIVE;1;Réagit vivement au bruit inattendu ou fort. (Par exemple Sirène chien qui aboie sèche cheveux).
Traitement de l'information relative au MOUVEMENT;34;Se cogne aux choses ou aux gens, ne remarque pas ce qui se trouve sur son chemin.
Réponses ATTENTIONNELLE relatives au traitement de l'information sensorielle;85;Éprouve des difficultés à trouver des objets dans un endroit encombré (par exemple, des chaussures dans une chambre en désordre, un crayon dans un tiroir de « bric-à-brac »).
Réponses ATTENTIONNELLE relatives au traitement de l'information sensorielle;86;Semble ne pas remarquer des personnes qui entrent dans la pièce.
